BOM_ID,LOCATION_ID,PARENT_ID,ALT_GROUP,PREFERENCE,ELEM_IX,CHILD_ID,NEW_SUPPLY,GRADE,RATE,BATCH_SIZE,EFFECTIVE_START,EFFECTIVE_END,OBSOLETE
BOM_500-3432-030,-,500-3432-030,-,1,0,VirtualProduct_500-3432-030_A1,-,-,1,-,-,-,-
BOM_500-3451,-,500-3451,-,1,0,VirtualProduct_500-3451_A1,-,-,1,-,-,-,-
BOM_500-3462-001,-,500-3462-001,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-001,-,500-3462-001,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-001,-,500-3462-001,-,1,0,VirtualProduct_500-3462-001_A1,-,-,1,-,-,-,-
BOM_500-3462-002,-,500-3462-002,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-002,-,500-3462-002,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-002,-,500-3462-002,-,1,0,VirtualProduct_500-3462-002_A1,-,-,1,-,-,-,-
BOM_500-3462-003,-,500-3462-003,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-003,-,500-3462-003,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-003,-,500-3462-003,-,1,0,VirtualProduct_500-3462-003_A1,-,-,1,-,-,-,-
BOM_500-3462-005,-,500-3462-005,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-005,-,500-3462-005,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-005,-,500-3462-005,-,1,0,VirtualProduct_500-3462-005_A1,-,-,1,-,-,-,-
BOM_500-3462-007,-,500-3462-007,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-007,-,500-3462-007,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-007,-,500-3462-007,-,1,0,VirtualProduct_500-3462-007_A1,-,-,1,-,-,-,-
BOM_500-3462-010,-,500-3462-010,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-010,-,500-3462-010,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-010,-,500-3462-010,-,1,0,VirtualProduct_500-3462-010_A1,-,-,1,-,-,-,-
BOM_500-3462-015,-,500-3462-015,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-015,-,500-3462-015,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-015,-,500-3462-015,-,1,0,VirtualProduct_500-3462-015_A1,-,-,1,-,-,-,-
BOM_500-3462-020,-,500-3462-020,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-020,-,500-3462-020,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-020,-,500-3462-020,-,1,0,VirtualProduct_500-3462-020_A1,-,-,1,-,-,-,-
BOM_500-3462-025,-,500-3462-025,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-025,-,500-3462-025,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-025,-,500-3462-025,-,1,0,VirtualProduct_500-3462-025_A1,-,-,1,-,-,-,-
BOM_500-3462-030,-,500-3462-030,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3462-030,-,500-3462-030,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3462-030,-,500-3462-030,-,1,0,VirtualProduct_500-3462-030_A1,-,-,1,-,-,-,-
BOM_500-3480,-,500-3480,-,1,0,502-2391,-,-,1,-,-,-,-
BOM_500-3481,-,500-3481,-,1,0,502-2391,-,-,1,-,-,-,-
BOM_500-3490,-,500-3490,-,1,0,502-1678,-,-,1,-,-,-,-
BOM_500-3508,-,500-3508,-,1,0,VirtualProduct_500-3508_A1,-,-,1,-,-,-,-
BOM_500-3519,-,500-3519,-,1,0,VirtualProduct_500-3519_A1,-,-,1,-,-,-,-
BOM_500-3532,-,500-3532,-,1,0,502-1641,-,-,1,-,-,-,-
BOM_500-3611-001,-,500-3611-001,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3611-001,-,500-3611-001,-,1,0,VirtualProduct_500-3611-001_A1,-,-,1,-,-,-,-
BOM_500-3621,-,500-3621,-,1,0,502-1677,-,-,1,-,-,-,-
BOM_500-3633,-,500-3633,-,1,0,502-1678,-,-,1,-,-,-,-
BOM_500-3633-01,-,500-3633-01,-,1,0,502-1693,-,-,1,-,-,-,-
BOM_500-3633-04,-,500-3633-04,-,1,0,502-1733,-,-,1,-,-,-,-
BOM_500-3644,-,500-3644,-,1,0,502-1818,-,-,1,-,-,-,-
BOM_500-3647-001,-,500-3647-001,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
BOM_500-3647-001,-,500-3647-001,-,1,0,VirtualProduct_500-3647-001_A1,-,-,1,-,-,-,-
BOM_500-3647-002,-,500-3647-002,-,1,0,502-1612-XXX,-,-,1,-,-,-,-
