PRODUCT,FROM_LOCATION,TO_LOCATION,TRANS_RT,MODE,PREFERENCE,COST,TRANSIT_TIME,TRANSIT_TIME_UOM,EFFECTIVE_START,EFFECTIVE_END,DEST_TYPE,ASSY_LOC,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost
110-0308,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0177,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0298,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0002,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0064,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0243,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0237,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0252,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0161,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0272,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0241,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0267,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0207,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0273,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0011,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0213,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
110-0001,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
