Customer_ID,CustomerName,PRODUCT_ID,IndustrialStandard,PO_Delivery_Date,PO_Quantity,Quantity,DATE_ID_SHIPPED
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/7/2024,40,5/6/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,5/31/2024,40,5/6/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,5/31/2024,40,5/6/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,5/24/2024,40,5/6/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,5/17/2024,40,5/6/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,4/26/2024,40,5/6/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,4/26/2024,40,5/6/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/21/2024,40,5/9/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,32,4/26/2024,32,3/20/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,32,4/26/2024,32,3/20/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,32,4/5/2024,32,3/20/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,212,4/5/2024,212,3/20/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,72,3/29/2024,72,3/20/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,96,3/15/2024,96,3/20/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,80,3/15/2024,80,3/20/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5702,TR-FC85G-NCI,48,3/8/2024,48,3/4/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,561-0126,TR-FC85G-NCI,96,3/1/2024,96,2/29/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5702,TR-FC85G-NCI,96,3/1/2024,96,3/4/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,32,5/17/2024,32,3/20/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-010,TF-FC010-NC4,80,3/15/2024,80,3/20/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,40,3/22/2024,40,3/22/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,40,3/29/2024,40,4/2/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,40,3/29/2024,40,4/2/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,40,3/29/2024,40,4/2/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,40,3/22/2024,40,3/22/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,112,3/29/2024,112,4/2/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,40,3/22/2024,40,3/22/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,40,3/29/2024,40,4/2/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,40,3/22/2024,40,3/22/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,184,3/29/2024,184,4/2/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,40,3/29/2024,40,4/2/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,145,5/10/2024,145,5/9/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,24,5/24/2024,24,4/25/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5703,TR-FC85G-NCI,16,5/31/2024,16,4/25/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/7/2024,40,5/13/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/14/2024,40,5/23/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/21/2024,40,5/23/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/21/2024,40,5/13/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,80,6/29/2024,80,5/13/2024
200643,Flextronics International  Europe B. V.,500-5391-001,TF-FC001-NC4,39,3/29/2024,39,5/13/2024
200643,Flextronics International  Europe B. V.,500-5391-001,TF-FC001-NC4,823,3/29/2024,353,5/21/2024
200643,Flextronics International  Europe B. V.,500-5391-001,TF-FC001-NC4,823,3/29/2024,470,5/13/2024
200643,Flextronics International  Europe B. V.,500-5391-001,TF-FC001-NC4,5,3/29/2024,5,5/13/2024
200643,Flextronics International  Europe B. V.,500-5391-001,TF-FC001-NC4,195,3/29/2024,195,5/13/2024
200643,Flextronics International  Europe B. V.,500-5391-002,TF-FC002-NC4,348,5/24/2024,348,5/21/2024
200643,Flextronics International  Europe B. V.,500-5391-005,TF-FC005-NC4,358,3/29/2024,358,5/24/2024
200643,Flextronics International  Europe B. V.,500-5391-005,TF-FC005-NC4,71,3/29/2024,71,5/21/2024
200643,Flextronics International  Europe B. V.,500-5391-005,TF-FC005-NC4,92,5/24/2024,92,6/21/2024
200643,Flextronics International  Europe B. V.,500-5391-015,TF-FC015-NC4,149,4/19/2024,149,5/29/2024
200643,Flextronics International  Europe B. V.,500-5391-020,TF-FC020-NC4,60,5/10/2024,60,5/21/2024
200643,Flextronics International  Europe B. V.,500-5391-020,TF-FC020-NC4,10,4/19/2024,10,5/13/2024
200643,Flextronics International  Europe B. V.,500-5391-020,TF-FC020-NC4,14,4/19/2024,14,5/9/2024
200643,Flextronics International  Europe B. V.,500-5391-030,TF-FC030-NC4,135,5/7/2024,135,5/21/2024
200643,Flextronics International  Europe B. V.,500-5391-007,TF-FC007-NC4,523,5/10/2024,523,6/9/2024
200643,Flextronics International  Europe B. V.,500-5391-007,TF-FC007-NC4,6,5/10/2024,6,5/29/2024
200643,Flextronics International  Europe B. V.,500-5391-007,TF-FC007-NC4,5,5/10/2024,5,5/29/2024
200643,Flextronics International  Europe B. V.,500-5391-007,TF-FC007-NC4,92,5/17/2024,92,5/29/2024
200643,Flextronics International  Europe B. V.,500-5703,TR-FC85G-NCI,8,5/10/2024,8,4/22/2024
200643,Flextronics International  Europe B. V.,500-5391-010,TF-FC010-NC4,160,4/30/2024,160,4/22/2024
200643,Flextronics International  Europe B. V.,500-5391-010,TF-FC010-NC4,80,6/14/2024,80,4/22/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,25,4/1/2024,25,5/13/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,30,4/1/2024,30,5/13/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,4/1/2024,40,5/13/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,4/1/2024,40,5/13/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,80,5/31/2024,80,5/23/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,80,6/7/2024,80,5/23/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,80,6/14/2024,80,5/23/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,80,6/14/2024,80,5/27/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/14/2024,40,5/13/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,80,6/21/2024,80,5/27/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,80,6/21/2024,80,6/7/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,200,6/28/2024,200,6/7/2024
200643,Flextronics International  Europe B. V.,500-5391-002,TF-FC002-NC4,30,5/24/2024,30,5/21/2024
200643,Flextronics International  Europe B. V.,500-5391-002,TF-FC002-NC4,431,5/24/2024,69,5/13/2024
200643,Flextronics International  Europe B. V.,500-5391-002,TF-FC002-NC4,431,5/24/2024,362,5/21/2024
200643,Flextronics International  Europe B. V.,500-5391-003,TF-FC003-NC4,32,5/31/2024,32,5/9/2024
200643,Flextronics International  Europe B. V.,500-5391-010,TF-FC010-NC4,12,4/26/2024,12,5/9/2024
200643,Flextronics International  Europe B. V.,500-5391-010,TF-FC010-NC4,5,4/19/2024,5,5/9/2024
