FG PN,PLANT,Work order code,,,,
500-5059,1000,F33,,,,
500-5059,2000,F33,,,,
500-5060,1000,F35,,,,
500-5060,2000,F35,,,,
500-5067-001,1000,F01,,,,
500-5067-002,1000,F01,,,,
500-5067-003,1000,F01,,,,
500-5067-007,1000,F01,,,,
500-5067-010,1000,F01,,,,
500-5067-015,1000,F01,,,,
500-5067-020,1000,F01,,,,
500-5067-025,1000,F01,,,,
500-5067-030,1000,F01,,,,
500-5070,2000,M51,,,,
500-5071,1000,M51,,,,
500-5071,2000,M51,,,,
500-5071-TW,6000,M51,,,,
500-5093,2000,F33,,,,
500-5094,2000,F35,,,,
500-5095,1000,F33,,,,
500-5095,2000,F33,,,,
500-5096,1000,M09,,,,
500-5096,2000,M09,,,,
500-5099,1000,F02,,,,
500-5099,2000,F02,,,,
500-5101,1000,M51,,,,
500-5101,2000,M51,,,,
500-5102,1000,M51,,,,
500-5102,2000,M51,,,,
500-5149,1000,M51,,,,
500-5149,2000,M51,,,,
500-5160,1000,F35,,,,
500-5172,1000,M09,,,,
500-5178,1000,M51,,,,
500-5196,1000,F35,,,,
500-5197,1000,F35,,,,
500-5211,1000,F02,,,,
500-5212,1000,F02,,,,
500-5212,2000,F02,,,,
500-5215-010,1000,F28,,,,
500-5216-003,1000,F28,,,,
500-5216-005,1000,F28,,,,
500-5216-007,1000,F28,,,,
500-5216-010,1000,F28,,,,
500-5216-030,1000,F28,,,,
500-5225,1000,F02,,,,
500-5225,2000,F02,,,,
500-5247,1000,F02,,,,
500-5274,1000,F38,,,,
500-5274,2000,F38,,,,
500-5275,1000,F38,,,,
500-5275,2000,F38,,,,
500-5281,1000,M51,,,,
500-5281,2000,M51,,,,
500-5282,1000,M51,,,,
500-5282,2000,M51,,,,
500-5308,1000,M51,,,,
500-5308,2000,M51,,,,
500-5327,1000,M51,,,,
500-5329,1000,F38,,,,
500-5359,1000,F29,,,,
500-5359,2000,F29,,,,
500-5384,1000,F29,,,,
500-5384,2000,F29,,,,
500-5387,1000,M51,,,,
500-5387,2000,M51,,,,
500-5391-001,1000,F28,,,,
500-5391-002,1000,F28,,,,
500-5391-003,1000,F28,,,,
500-5391-005,1000,F28,,,,
500-5391-007,1000,F28,,,,
500-5391-010,1000,F28,,,,
500-5391-015,1000,F28,,,,
500-5391-020,1000,F28,,,,
500-5391-025,1000,F28,,,,
500-5391-030,1000,F28,,,,
500-5392,1000,F29,,,,
500-5392,2000,F29,,,,
500-5393,1000,F35,,,,
500-5394,1000,F33,,,,
500-5423,1000,F33,,,,
500-5423,2000,F33,,,,
500-5424,1000,F33,,,,
500-5481,1000,F29,,,,
500-5481,2000,F29,,,,
500-5495-001,1000,F28,,,,
500-5495-002,1000,F28,,,,
500-5495-003,1000,F28,,,,
