PN,Plant,Scrap
280-0397,2000,0.00
280-0418,1000,0.00
280-0418,2000,0.00
280-0423,1000,0.00
280-0423,2000,0.00
280-0425,1000,0.00
280-0425,2000,0.00
280-0431,1000,0.00
280-0431,2000,0.00
280-0439,1000,0.00
280-0439,2000,0.00
280-0440,1000,0.00
280-0440,2000,0.00
280-0441,1000,0.00
280-0441,2000,0.00
280-0442,1000,0.00
280-0442,2000,0.00
280-0443,1000,0.00
280-0443,2000,0.00
280-0444,1000,0.00
280-0444,2000,0.00
280-0445,1000,0.00
280-0445,2000,0.00
280-0446,1000,0.00
280-0446,2000,0.00
280-0447,1000,0.00
280-0447,2000,0.00
280-0467,1000,0.00
280-0467,2000,0.00
280-0489,1000,0.00
280-0489,2000,0.00
280-0508-27,1000,0.00
280-0508-27,2000,0.00
280-0508-29,1000,0.00
280-0508-29,2000,0.00
280-0508-31,1000,0.00
280-0508-31,2000,0.00
280-0508-33,1000,0.00
280-0508-33,2000,0.00
280-0511-03,1000,0.00
280-0511-03,2000,0.00
280-0511-04,1000,0.00
280-0511-04,2000,0.00
280-0511-05,1000,0.00
280-0511-05,2000,0.00
280-0511-06,1000,0.00
280-0511-06,2000,0.00
280-0511-07,1000,0.00
280-0511-07,2000,0.00
280-0511-08,1000,0.00
280-0511-08,2000,0.00
280-0512,1000,0.00
280-0512,2000,0.00
280-0546,1000,0.00
280-0546,2000,0.00
280-0547,1000,0.00
280-0547,2000,0.00
280-0548,1000,0.00
280-0548,2000,0.00
280-0549,1000,0.00
280-0549,2000,0.00
280-0550,1000,0.00
280-0550,2000,0.00
280-0551,1000,0.00
280-0551,2000,0.00
280-0552,1000,0.00
280-0552,2000,0.00
280-0553,1000,0.00
280-0553,2000,0.00
280-0554,1000,0.00
280-0554,2000,0.00
280-0555,1000,0.00
280-0555,2000,0.00
280-0556,1000,0.00
280-0556,2000,0.00
280-0557,1000,0.00
280-0557,2000,0.00
280-0558,1000,0.00
280-0558,2000,0.00
280-0574,1000,0.00
280-0574,2000,0.00
280-0587,1000,0.00
280-0587,2000,0.00
280-0607,1000,0.00
280-0607,2000,0.00
280-0609,1000,0.00
280-0609,2000,0.00
280-0636,1000,0.00
280-0636,2000,0.00
280-0650,1000,0.00
280-0650,2000,0.00
280-0654,1000,0.00
280-0654,2000,0.00
280-0654,5000,0.00
280-0654-CN,1000,0.00
280-0654-CN,2000,0.00
280-0655,1000,0.00
280-0655,2000,0.00
280-0677,1000,0.00
280-0677,2000,0.00
280-0695,1000,0.00
280-0695,2000,0.00
280-0696,1000,0.00
280-0696,2000,0.00
280-0698,1000,0.00
280-0698,2000,0.00
280-0699,1000,0.00
280-0699,2000,0.00
280-0700,1000,0.00
280-0700,2000,0.00
280-0701,1000,0.00
280-0701,2000,0.00
280-0701,5000,0.00
280-0702,1000,0.00
280-0702,2000,0.00
280-0704,1000,0.00
280-0704,2000,0.00
280-0705,1000,0.00
280-0705,2000,0.00
280-0739,1000,0.00
280-0739,2000,0.00
280-0739-CN,1000,0.00
280-0739-CN,2000,0.00
280-0750-27,1000,0.00
280-0750-27,2000,0.00
280-0750-29,1000,0.00
280-0750-29,2000,0.00
280-0750-31,1000,0.00
280-0750-31,2000,0.00
280-0750-33,1000,0.00
280-0750-33,2000,0.00
280-0751,1000,0.00
280-0751,2000,0.00
280-0752-27,1000,0.00
280-0752-27,2000,0.00
280-0752-29,1000,0.00
280-0752-29,2000,0.00
280-0752-31,1000,0.00
280-0752-31,2000,0.00
280-0752-33,1000,0.00
280-0752-33,2000,0.00
280-0765,1000,0.00
280-0765,2000,0.00
280-0770,1000,0.00
280-0770,2000,0.00
280-0786,1000,0.00
280-0786,2000,0.00
280-0787,1000,0.00
280-0787,2000,0.00
280-0789-10A,1000,0.00
280-0789-10A,2000,0.00
280-0789-10B,1000,0.00
280-0789-10B,2000,0.00
280-0789-10C,1000,0.00
280-0789-10C,2000,0.00
280-0791,1000,0.00
280-0791,2000,0.00
280-0791-R,1000,0.00
280-0791-R,2000,0.00
280-0793,1000,0.00
280-0793,2000,0.00
280-0793-02,1000,0.00
280-0793-02,2000,0.00
280-0798,1000,0.00
280-0798,2000,0.00
280-0798,5000,0.00
280-0810,1000,0.00
280-0810,2000,0.00
280-0836-27,1000,0.00
280-0836-27,2000,0.00
280-0836-29,1000,0.00
280-0836-29,2000,0.00
280-0836-31,1000,0.00
280-0836-31,2000,0.00
280-0836-33,1000,0.00
280-0836-33,2000,0.00
280-0837,1000,0.00
280-0837,2000,0.00
280-0845-001,1000,0.00
280-0845-001,2000,0.00
280-0845-002,1000,0.00
280-0845-002,2000,0.00
280-0845-003,1000,0.00
280-0845-003,2000,0.00
280-0845-004,1000,0.00
280-0845-004,2000,0.00
280-0845-005,1000,0.00
280-0845-005,2000,0.00
280-0845-006,1000,0.00
280-0845-006,2000,0.00
280-0845-007,1000,0.00
280-0845-007,2000,0.00
280-0845-008,1000,0.00
280-0845-008,2000,0.00
280-0845-010,1000,0.00
280-0845-010,2000,0.00
280-0845-012,1000,0.00
280-0845-012,2000,0.00
280-0845-013,1000,0.00
280-0845-013,2000,0.00
280-0845-015,1000,0.00
280-0845-015,2000,0.00
280-0845-020,1000,0.00
280-0845-020,2000,0.00
280-0845-025,1000,0.00
280-0845-025,2000,0.00
280-0845-030,1000,0.00
280-0845-030,2000,0.00
280-0845-040,1000,0.00
280-0845-040,2000,0.00
280-0845-050,1000,0.00
280-0845-050,2000,0.00
280-0845-0P5,1000,0.00
280-0845-0P5,2000,0.00
280-0845-100,1000,0.00
280-0845-100,2000,0.00
280-0848,1000,0.00
280-0848,2000,0.00
280-0861,1000,0.00
280-0861,2000,0.00
280-0862,1000,0.00
280-0862,2000,0.00
280-0865,1000,0.00
280-0865,2000,0.00
280-0866,1000,0.00
280-0866,2000,0.00
280-0867,1000,0.00
280-0867,2000,0.00
280-0897,1000,0.00
280-0897,2000,0.00
280-0898,1000,0.00
280-0898,2000,0.00
280-0913,1000,0.00
280-0913,2000,0.00
280-0932,1000,0.00
280-0932,2000,0.00
280-0933,1000,0.00
280-0933,2000,0.00
280-0940,1000,0.00
280-0940,2000,0.00
280-0952,1000,0.00
280-0952,2000,0.00
280-0981-N0,1000,0.00
280-0981-N0,2000,0.00
280-0981-N1,1000,0.00
280-0981-N1,2000,0.00
280-0981-N2,1000,0.00
280-0981-N2,2000,0.00
280-0981-N3,1000,0.00
280-0981-N3,2000,0.00
280-0990,1000,0.00
280-0990,2000,0.00
280-0991,1000,0.00
280-0991,2000,0.00
280-0992,1000,0.00
280-0992,2000,0.00
280-0994,1000,0.00
280-0994,2000,0.00
280-0995,1000,0.00
280-0995,2000,0.00
280-0996,1000,0.00
280-0996,2000,0.00
280-0997,1000,0.00
280-0997,2000,0.00
280-0998,1000,0.00
280-0998,2000,0.00
280-0999,1000,0.00
280-0999,2000,0.00
280-1000,1000,0.00
280-1000,2000,0.00
280-1001,1000,0.00
280-1001,2000,0.00
280-1002,1000,0.00
280-1002,2000,0.00
280-1011,1000,0.00
280-1011,2000,0.00
280-1013,1000,0.00
280-1013,2000,0.00
280-1014-27,1000,0.00
280-1014-27,2000,0.00
280-1014-29,1000,0.00
280-1014-29,2000,0.00
280-1014-31,1000,0.00
280-1014-31,2000,0.00
280-1014-33,1000,0.00
280-1014-33,2000,0.00
280-1018,1000,0.00
280-1018,2000,0.00
280-1019,1000,0.00
280-1019,2000,0.00
280-1044-27,1000,0.00
280-1044-27,2000,0.00
280-1044-29,1000,0.00
280-1044-29,2000,0.00
280-1044-31,1000,0.00
280-1044-31,2000,0.00
280-1044-33,1000,0.00
280-1044-33,2000,0.00
280-1049-27-RW,1000,0.00
280-1049-27-RW,2000,0.00
280-1049-29-RW,1000,0.00
280-1049-29-RW,2000,0.00
280-1049-31-RW,1000,0.00
280-1049-31-RW,2000,0.00
280-1049-33-RW,1000,0.00
280-1049-33-RW,2000,0.00
280-1134,1000,0.00
280-1134,2000,0.00
280-1188,1000,0.00
280-1188,2000,0.00
280-1312-27-R,1000,0.00
280-1312-27-R,2000,0.00
280-1312-29-R,1000,0.00
280-1312-29-R,2000,0.00
280-1312-31-R,1000,0.00
280-1312-31-R,2000,0.00
280-1312-33-R,1000,0.00
280-1312-33-R,2000,0.00
281-0002,1000,0.00
281-0002,2000,0.00
281-0009,1000,0.00
281-0009,2000,0.00
281-0070,1000,0.00
281-0070,2000,0.00
282-0014,1000,0.00
282-0014,2000,0.00
282-0015,1000,0.00
282-0015,2000,0.00
282-0016,1000,0.00
282-0016,2000,0.00
282-0040,1000,0.00
282-0040,2000,0.00
282-0041,1000,0.00
282-0041,2000,0.00
282-0042,1000,0.00
282-0042,2000,0.00
282-0053,1000,0.00
282-0053,2000,0.00
282-0140,1000,0.00
282-0140,2000,0.00
282-0140,5000,0.00
282-0141,1000,0.00
282-0141,2000,0.00
282-0141,5000,0.00
282-0330,1000,0.00
282-0330,2000,0.00
282-0333,1000,0.00
282-0333,2000,0.00
282-0432,1000,0.00
282-0432,2000,0.00
282-0433,1000,0.00
282-0433,2000,0.00
282-0434,1000,0.00
282-0434,2000,0.00
282-0601,1000,0.00
282-0601,2000,0.00
283-0015,1000,0.00
283-0015,2000,0.00
283-0019,1000,0.00
283-0019,2000,0.00
283-0019,5000,0.00
283-0029,1000,0.00
283-0029,2000,0.00
283-0046-27,1000,0.00
283-0046-27,2000,0.00
283-0046-29,1000,0.00
283-0046-29,2000,0.00
283-0046-31,1000,0.00
283-0046-31,2000,0.00
283-0046-33,1000,0.00
283-0046-33,2000,0.00
283-0047-31,1000,0.00
283-0047-31,2000,0.00
283-0055,1000,0.00
283-0055,2000,0.00
283-0056-N0,1000,0.00
283-0056-N0,2000,0.00
283-0056-N1,1000,0.00
283-0056-N1,2000,0.00
283-0056-N2,1000,0.00
283-0056-N2,2000,0.00
283-0056-N3,1000,0.00
283-0056-N3,2000,0.00
283-0080,1000,0.00
283-0080,2000,0.00
283-0081,1000,0.00
283-0081,2000,0.00
283-0082,1000,0.00
283-0082,2000,0.00
283-0098,1000,0.00
283-0098,2000,0.00
283-0109-27,1000,0.00
283-0109-27,2000,0.00
283-0109-29,1000,0.00
283-0109-29,2000,0.00
283-0109-31,1000,0.00
283-0109-31,2000,0.00
283-0109-33,1000,0.00
283-0109-33,2000,0.00
283-0110-27,1000,0.00
283-0110-27,2000,0.00
283-0110-29,1000,0.00
