Plant,FG,旧的物料编号,FGDescription,FGDescription2,成品尺寸,BOMLevel,BOMVersion,可选文本,基本数量,项目编号,SubstituteGroup,Priority,Usage,partnumber,BOM物料单,组,生产版本,特定工厂物料状态,成本收集器订单号,初始估算成功日期,是否仍需初始估算,是否已成本估算,组件旧物料号,PartDescription,PartDescription2,组件尺寸,projecttype,组件数量,Scrap,UOM,中止指示符,中断日期,后续物料,项目文本行1,项目文本行 2,项目长文本,ParentPart,成本核算标识相关,错误,组件采购组,组件采购类型,组件特殊采购类型,调拨工厂,标准采购信息记录,外协采购信息记录,组,操作/活动,长描述,插件,反冲,供应商,供应商名称,组件库存,未清采购订单数量,图号,生产商(制造商),产地,componenttype,创建日期,计划交货日期,专用/通用
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.17,1,,1000.000,0180,,0,0,280-1459,,,,Z1,,,,是,,"TX Receptacle Side Lens,CWDM4 COP(Wel)",,,L,10.000,0.00,PC,,,,,,,260-0236,X,,厂内光自组件,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.18,1,,1000.000,0190,,0,0,280-1460,,,,Z1,,,,是,,"RX Receptacle Side Lens,CWDM4 COP(Wel)",,,L,10.000,0.00,PC,,,,,,,260-0236,X,,厂内光自组件,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.19,1,,1000.000,0200,,0,0,313-0043,,,,,,,,是,,"Epoxy,Innolight,UV-114,3ml/支",,,L,10.000,0.00,ML,,,,,,,260-0236,X,,王紫慧,F,,,X,,,,,,,,,177.582,0,,,,P,,49,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,24,1,,1000.000,0250,,0,0,300-0150,,,,,,,,是,,Housing body,,,L,1000.000,1.00,PC,,,,,,,500-3953-06-TW,X,,李跃红,F,40,1000,X,,,,,,,,,1730.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,25,1,,1000.000,0260,,0,0,300-0151,,,,,,,,是,,Housing lid,,,L,1000.000,1.00,PC,,,,,,,500-3953-06-TW,X,,李跃红,F,40,1000,X,,,,,,,,,1034.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,26,1,,1000.000,0270,,0,0,300-0152,,,,,,,,是,,Housing adapter,,,L,1000.000,1.00,PC,,,,,,,500-3953-06-TW,X,,李跃红,F,40,1000,X,,,,,,,,,1279.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,27,1,,1000.000,0280,,0,0,310-0407,,,,,,,,是,,"Pull tab,Green",,,L,1000.000,1.00,PC,,,,,,,500-3953-06-TW,X,,李跃红,F,40,1000,X,,,,,,,,,1.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,28,1,,1000.000,0290,,0,0,302-0007,,,,,,,,是,,TSLG Nylok Screw M1.4x0.3x4.63,,,L,2000.000,2.00,PC,,,,,,,500-3953-06-TW,X,,李跃红,F,,,X,,,,,,,,,35205.000,0,,,,P,,59,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,29,1,,1000.000,0300,,0,0,302-0004,,,,,,,,是,,TSLG Nylok Screw M1.4x0.3x5.45,,,L,2000.000,2.00,PC,,,,,,,500-3953-06-TW,X,,李跃红,F,,,X,,,,,,,,,39505.000,0,,,,P,,59,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,30,1,,1000.000,0310,,0,0,310-0401,,,,,,,,是,,"Dust cover EPDM,Duplex LC,Black",,,L,1000.000,2.00,PC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,43232.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,31,1,,1000.000,0320,,0,0,320-0284,,,,,,,,是,,"Spring OD 1.5mm,l:7.3mm, W-D:0.2mm",,,L,2000.000,2.00,PC,,,,,,,500-3953-06-TW,X,,李跃红,F,40,1000,X,,,,,,,,,73936.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,32,1,,1000.000,0330,,0,0,311-0102,,,,,,,,是,,"Thermal pad,4x4x0.5",,,L,1000.000,2.00,PC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,33,1,,1000.000,0340,,0,0,310-0464,,,,,,,,是,,"EMI pad,11.7x3.15x2mm",,,L,2000.000,2.00,PC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,26000.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,34,1,,1000.000,0350,,0,0,310-0490,,,,,,,,是,,"Thermal Pad,6*4.5*1mm",,,L,1000.000,2.00,PC,,,,,,,500-3953-06-TW,X,,辛帆,F,40,1000,X,,,,,,,,,10.000,0,,,,,,0,
