Plant,PN,UnconstrainedQuantity
2000,311-0363,4786.000
2000,311-0436,3894.000
2000,311-0436,40000.000
2000,311-0437,3045.000
2000,311-0437,3500.000
2000,312-0010,7045.000
2000,312-0010,10.000
2000,320-0284,95355.000
2000,320-0284,200000.000
2000,320-0412,32556.618
2000,320-0412,9257.000
2000,320-0412,1900.000
2000,320-0438,30850.618
2000,320-0438,82.000
2000,320-0438,534.000
2000,320-0438,4000.000
2000,320-0443,14977.618
2000,320-0443,10300.000
2000,320-0493,28008.156
2000,320-0493,3743.000
2000,320-0493,10844.000
2000,320-0493,10900.000
2000,320-0550,8172.000
2000,320-0550,36616.000
2000,320-0611,10757.000
2000,320-0611,10600.000
2000,320-0759,6982.000
2000,320-0759,5700.000
2000,320-0763,1498.000
2000,320-0763,16847.000
2000,320-0836,2077.000
2000,320-0836,7610.000
2000,321-0057,4901.000
2000,321-0057,6600.000
2000,321-0058,5343.000
2000,321-0058,3798.000
2000,321-0059,7290.000
2000,321-0059,7421.000
2000,321-0059,16500.000
2000,321-0172,9.000
2000,321-0173,9.000
2000,340-0056,20887.000
2000,340-0062,235.000
2000,340-0063,537.000
2000,340-0071,7.000
2000,340-0071,16868.000
2000,341-0027,6486.000
2000,341-0027,14300.000
2000,341-0063,52.000
2000,341-0063,8100.000
2000,910-1258,9551.000
2000,282-0434,0
2000,282-0432,0
2000,288-0134,0
2000,288-0001,0
2000,282-0333,0
2000,282-0330,0
2000,280-0898,0
2000,280-0650,0
2000,321-0059,0
2000,280-0791,0
2000,280-0695,0
2000,320-0550,0
2000,340-0056,0
2000,310-0574,0
2000,340-0063,0
2000,310-0407,0
2000,310-0724,0
2000,280-0695,0
2000,280-0791,0
2000,300-0152,0
2000,310-0591,0
2000,287-0003,0
2000,280-0897,0
2000,341-0027,0
2000,300-0151,0
2000,310-0591,0
2000,311-0260,0
2000,280-0932,0
2000,300-0150,0
2000,300-0152,0
2000,311-0436,0
2000,101-0001,0
2000,140-0547,0
2000,140-0547,0
2000,140-0851,0
2000,223-0011,0
2000,223-0011,0
2000,223-0012,0
2000,223-0012,0
2000,280-0425,0
2000,280-0425,0
2000,280-0431,0
2000,280-0431,0
2000,280-0431,0
2000,280-0431,0
2000,280-0511-04,0
2000,280-0511-04,0
2000,280-0511-05,0
2000,280-0511-06,0
2000,280-0607,0
2000,280-0650,0
2000,280-0650,0
2000,280-0650,0
2000,280-0695,0
2000,280-0695,0
2000,280-0695,0
2000,280-0696,0
2000,280-0698,0
2000,280-0698,0
2000,280-0698,0
2000,280-0698,0
2000,280-0791,0
2000,280-0791,0
2000,280-0791,0
2000,280-0810,0
2000,280-0810,0
2000,280-0848,0
2000,280-0848,0
2000,280-0897,0
2000,280-0898,0
2000,280-0898,0
2000,280-0898,0
2000,280-0932,0
2000,280-0932,0
2000,280-0932,0
2000,280-0932,0
2000,280-0933,0
2000,280-0933,0
2000,280-0933,0
2000,280-0981-N0,0
2000,280-0981-N0,0
2000,280-0981-N1,0
2000,280-0981-N1,0
2000,280-0981-N2,0
2000,280-0981-N3,0
2000,280-0981-N3,0
2000,280-0992,0
2000,280-0992,0
2000,280-0992,0
2000,280-1011,0
2000,280-1011,0
2000,280-1011,0
2000,280-1011,0
2000,281-0009,0
2000,281-0009,0
2000,281-0009,0
2000,281-0070,0
2000,282-0040,0
2000,282-0040,0
2000,282-0041,0
2000,282-0041,0
2000,282-0330,0
2000,282-0330,0
2000,282-0333,0
2000,282-0432,0
2000,282-0433,0
2000,282-0434,0
2000,282-0434,0
2000,283-0046-27,0
2000,283-0046-29,0
2000,283-0046-31,0
2000,283-0046-33,0
2000,283-0098,0
2000,283-0110-27,0
2000,283-0110-29,0
2000,283-0110-31,0
2000,283-0110-33,0
2000,283-0226,0
2000,284-0118,0
2000,285-0012,0
2000,285-0012,0
2000,285-0012,0
2000,285-0109,0
2000,287-0003,0
2000,287-0003,0
2000,288-0001,0
2000,288-0001,0
2000,288-0001,0
2000,288-0001,0
2000,288-0001,0
2000,288-0005,0
2000,288-0005,0
2000,288-0005,0
2000,288-0134,0
2000,300-0150,0
2000,300-0150,0
2000,300-0150,0
2000,300-0151,0
2000,300-0151,0
2000,300-0151,0
2000,300-0152,0
2000,300-0152,0
2000,300-0152,0
2000,300-0311,0
2000,300-0311,0
2000,300-0311,0
2000,300-0312,0
2000,300-0312,0
2000,300-0312,0
2000,300-0313,0
2000,300-0313,0
2000,300-0313,0
2000,301-0022,0
2000,301-0046-CD,0
2000,301-0046-CD,0
2000,302-0004,0
2000,302-0007,0
2000,302-0007,0
2000,310-0401,0
2000,310-0401,0
2000,310-0401,0
2000,310-0401,0
2000,310-0407,0
2000,310-0417,0
2000,310-0417,0
2000,310-0560,0
2000,310-0573,0
2000,310-0574,0
2000,310-0591,0
2000,310-0724,0
2000,311-0244,0
2000,311-0252,0
2000,311-0252,0
2000,311-0260,0
2000,311-0276,0
2000,311-0363,0
2000,311-0363,0
2000,311-0436,0
2000,311-0437,0
2000,312-0010,0
2000,312-0010,0
2000,320-0284,0
2000,320-0284,0
2000,320-0412,0
2000,320-0412,0
2000,320-0412,0
2000,320-0412,0
2000,320-0438,0
2000,320-0438,0
2000,320-0443,0
2000,320-0443,0
2000,320-0443,0
2000,320-0443,0
2000,320-0443,0
2000,320-0493,0
2000,320-0493,0
2000,320-0493,0
2000,320-0493,0
2000,320-0550,0
2000,320-0550,0
2000,320-0550,0
2000,320-0611,0
2000,320-0611,0
2000,320-0611,0
2000,320-0611,0
2000,320-0611,0
2000,320-0611,0
2000,320-0759,0
2000,320-0759,0
2000,320-0763,0
2000,320-0763,0
2000,320-0763,0
2000,320-0763,0
2000,320-0836,0
2000,320-0836,0
2000,320-0836,0
2000,321-0057,0
2000,321-0057,0
2000,321-0057,0
2000,321-0058,0
2000,321-0058,0
2000,321-0058,0
2000,321-0059,0
2000,321-0059,0
2000,340-0056,0
2000,340-0062,0
2000,340-0063,0
2000,340-0071,0
2000,341-0027,0
2000,341-0027,0
2000,341-0063,0
2000,910-1258,0
6000,223-0012,101.000
6000,223-0012,500.000
6000,280-0897,773.000
6000,300-0150,2702.000
6000,300-0150,960.000
6000,300-0151,1620.000
6000,300-0151,47.000
6000,300-0152,1000.000
6000,300-0152,12.000
6000,302-0004,19915.000
6000,302-0004,453000.000
6000,302-0007,7780.000
6000,302-0007,42000.000
6000,310-0401,58832.000
6000,310-0401,119500.000
6000,310-0407,1.000
6000,310-0504,5173.000
6000,310-0560,1437.000
6000,310-0573,2491.000
6000,310-0574,1136.000
6000,310-0591,141.000
6000,311-0244,3302.000
6000,311-0244,13500.000
6000,311-0276,3530.000
6000,311-0276,4000.000
6000,311-0436,12630.000
6000,311-0436,224740.000
6000,320-0284,18777.000
6000,320-0284,15000.000
6000,300-0150,0
6000,300-0151,0
6000,300-0152,0
6000,310-0504,0
6000,310-0560,0
6000,302-0004,0
6000,302-0004,0
6000,302-0007,0
6000,310-0577,0
6000,262-0058-CD,4
1000,262-0078-CD,18
2000,262-0150-CD,1
2000,262-0164-CD,53
2000,262-0300-24,166
1000,500-3186,2
2000,500-3190,5
2000,500-3231,2
1000,500-3385,28
1000,500-3432-003,12
1000,500-3462-002,4
1000,500-3462-005,16
1000,500-3659,2
1000,500-3665,5
1000,500-3784,2
1000,500-3884,12
2000,500-3884,1
2000,500-4081,3
2000,500-4191,13
1000,500-4235-003,16
1000,500-4235-005,14
1000,500-4235-007,699
1000,500-4235-007,6
1000,500-4235-010,79
1000,500-4235-020,3
1000,500-4236-003,11
1000,500-4236-005,6
1000,500-4236-007,934
1000,500-4236-020,1
1000,500-4618-003,10
1000,500-4925,12
1000,500-4925,1
1000,500-4925,1
2000,500-4954,22
1000,500-4955,32
2000,500-4955,93
2000,500-4955,21
1000,500-4961-001,2
1000,500-4961-002,2
1000,500-4961-003,4
1000,500-4961-003,13
1000,500-4961-005,1
1000,500-4961-007,14
1000,500-4961-010,12
1000,500-4961-015,5
1000,500-4961-020,2
1000,500-4962-010,32
1000,500-4962-020,6
1000,500-4962-0P5,234
1000,500-5216-003,1
1000,500-5216-005,1
1000,500-5216-007,1
1000,500-5216-010,1
1000,500-5274,4
1000,500-5274,6
1000,500-5275,419
2000,500-5275,658
1000,500-5359,4
1000,500-5359,577
1000,500-5359,100
1000,500-5359,32
2000,500-5359,"1,568.00"
2000,500-5384,269
1000,500-5391-001,"2,418.00"
7000,500-5391-001,"1,302.00"
1000,500-5391-002,"2,189.00"
1000,500-5391-002,374
7000,500-5391-002,595
1000,500-5391-003,"3,403.00"
1000,500-5391-003,92
7000,500-5391-003,720
1000,500-5391-005,800
1000,500-5391-005,400
1000,500-5391-005,61
7000,500-5391-005,342
1000,500-5391-007,435
1000,500-5391-007,279
1000,500-5391-007,400
1000,500-5391-007,168
7000,500-5391-007,142
1000,500-5391-010,640
1000,500-5391-010,180
1000,500-5391-010,45
1000,500-5391-010,110
7000,500-5391-010,729
1000,500-5391-015,860
1000,500-5391-015,41
1000,500-5391-015,90
1000,500-5391-015,180
7000,500-5391-015,149
1000,500-5391-020,56
7000,500-5391-020,845
1000,500-5391-025,40
1000,500-5391-025,13
7000,500-5391-025,150
1000,500-5391-030,374
1000,500-5391-030,200
1000,500-5391-030,11
7000,500-5391-030,"2,087.00"
1000,500-5392,2
1000,500-5481,"14,348.00"
1000,500-5481,"6,548.00"
1000,500-5481,540
2000,500-5481,55
7000,500-5481,"8,921.00"
1000,500-5495-001,678
1000,500-5495-003,11
1000,500-5495-015,39
1000,500-5495-020,5
1000,500-5495-030,2
1000,500-5522,3
1000,500-5522,1
2000,500-5522,28
2000,500-5522,3
2000,500-5522,1
2000,500-5522,"1,631.00"
1000,500-5594,3
2000,500-5594,738
1000,500-5601,203
1000,500-5614-010,1
1000,500-5614-030,88
1000,500-5703,827
1000,500-5703,336
1000,500-5703,88
7000,500-5703,593
1000,500-5850,1
2000,500-5851,2
1000,500-5958,2
2000,500-5988,3
2000,500-5989,2
2000,500-5990,1
1000,500-6095,4
1000,500-6099,928
1000,500-6099,391
2000,500-6099,100
1000,500-6159-001,3
1000,500-6159-003,4
1000,500-6159-005,1
1000,500-6159-007,1
1000,500-6159-015,2
1000,500-6159-020,3
2000,500-6201,2
2000,500-6207,3
1000,500-6249-010,1
1000,500-6282-005,2
1000,500-6282-010,42
1000,500-6283-003,1
1000,500-6283-010,4
2000,500-6336,618
1000,500-6383-010,1
1000,500-6496,4
2000,500-6512,194
1000,500-6650,43
1000,500-6672,2
1000,500-6681,2
1000,500-7115,980
1000,500-7177-007,92
1000,500-7177-010,7
1000,500-7177-020,2
1000,500-7178-007,83
1000,500-7178-010,7
1000,500-7178-020,2
1000,500-7179-002,8
1000,500-7179-005,16
1000,500-7179-010,2
1000,500-7207-001,2
1000,500-7207-002,2
1000,500-7207-003,52
1000,500-7207-005,7
1000,500-7207-010,3
1000,500-7207-020,2
1000,500-7283-010,1
1000,500-7291-010,8
1000,500-7291-010,3
1000,500-7291-020,420
1000,500-7366-005,138
6000,503-0032-007-IW,17
6000,503-0032-025-IW,17
6000,503-0032-030-IW,3
6000,503-0033-001-IW,20
6000,503-0033-003-IW,6
6000,503-0033-007-IW,5
6000,503-0033-010-IW,5
6000,503-0033-020-IW,5
6000,503-0033-025-IW,5
6000,503-0033-030-IW,4
2000,504-1936,50
6000,504-1936,105
6000,504-1936,"1,852.00"
1000,504-1975,4
6000,504-1975,120
1000,504-1976,64
1000,504-1989,"6,447.00"
1000,504-1989,"1,344.00"
2000,504-1989,"7,797.00"
6000,561-0005,53
6000,561-0104,127
6000,561-0120,1
6000,561-0120,69
1000,561-0125,"2,736.00"
6000,561-0125,"2,618.00"
6000,561-0126,31
6000,561-0127,141
6000,561-0128,138
6000,561-0129,143
6000,561-0134-003,497
6000,561-0134-005,20
6000,561-0134-007,3
6000,561-0134-010,18
6000,561-0134-020,3
6000,561-0134-025,2
6000,561-0134-030,3
6000,561-0135-001,5
6000,561-0135-002,24
6000,561-0135-003,8
6000,561-0135-005,5
6000,561-0135-015,23
6000,561-0193,2
6000,561-0195,2
1000,500-3494,0
1000,500-4596-010,0
