Plant,删除标识,凭证日期,采购凭证,项目,PN,库存地点,Quantity,仍要交货(数量),短文本,订单单位,采购组,项目类别,物料组,Vendor,Vendor_Name
1000,,1/9/24,4500073725,20,160-1153,6010,6869,773,PCB isola 370HR+M6,PC,A02,0,160P4965,100204, 东莞森玛仕格里菲电路有限公司
1000,,3/18/24,4900011837,10,280-0701,VM01,800,800,"RX Z-Block,P0.75,8 deg incident",PC,A04,2,288P81B5,100018, 昂纳科技（深圳）集团股份有限公司
1000,,3/20/24,4500079773,10,313-0068,6010,806,806,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
1000,,2/1/24,4900011045,50,220-0230-010,VM01,825,825,"Fiber,OM2,10m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
1000,,3/20/24,4500079769,10,310-0485,6010,830,830,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",PC,A10,0,313P87C2,100078, 苏州鑫澈电子有限公司
1000,,2/22/24,4500077307,10,310-0485,6010,840,840,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",PC,A10,0,313P87C2,100078, 苏州鑫澈电子有限公司
5000,,3/4/24,4500078259,10,310-0485,6010,843,843,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",PC,A10,0,313P87C2,500115, HEMI ELECTRONICS(HONGKONG)CO.;LIMIT
5000,,3/20/24,4500079776,10,310-0485,6010,865,865,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",PC,A10,0,313P87C2,500115, HEMI ELECTRONICS(HONGKONG)CO.;LIMIT
1000,,3/20/24,4500079771,10,310-0395,6010,955,955,"Epoxy,NGAC,P910-04,3ml/支",PC,A10,0,313P87C2,200085, NGAC LLC.
1000,,3/13/24,4500079124,10,504-1532,6010,1000,1000,"PCBA BOM,CWDM4-Duplex(with MCC Diode)",PC,A22,3,504P5071,100297, 无锡索米科技有限公司
1000,,3/8/24,4500078732,30,350-0229,6010,3000,1000,"Tray,215x205x18.5mm,8pcs,Pack",PC,A16,0,350P97E4,100187, 苏州安隆塑业有限公司
1000,,2/21/24,4500077201,20,350-0485,6010,2000,1000,"Packing Tray,319.2*190*19,4PCS,#3",PC,A16,0,350P97E4,100323, 苏州安卓电子有限公司
1000,,3/15/22,4500042827,20,120-0202,6010,69000,1000,"Ind,2.0X1.6X1.0mm,2.2uH,1.7A,0.142ohm",PC,A01,0,120P0305,100148, 梵锦（上海）电子科技有限公司
1000,,10/24/23,4500068164,10,313-0068,6010,1385,1017,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
5000,,1/17/24,4500074537,10,313-0039,6010,1020,1020,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
1000,,2/22/24,4500077310,10,313-0039,6010,1050,1050,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
1000,,3/6/24,4500078494,20,160-1172,6010,1058,1058,PCB with M37244,PC,A02,0,160P4965,100204, 东莞森玛仕格里菲电路有限公司
1000,,3/20/24,4500079766,10,310-0414-01,6010,1100,1100,"Epoxy,EPO-TEK HYB-353ND-LV,3ml/支",PC,A10,0,313P87C2,100041, 技硕贸易（上海）有限公司
1000,,2/22/24,4500077310,20,313-0068,6010,1120,1120,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
5000,,3/20/24,4500079774,10,313-0039,6010,1191,1191,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
