PRODUCT_ID,Revesion level,VENDOR_ID,LOCATION,PREFERENCE/Quota,EFFECTIVE_START,EFFECTIVE_END,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY
280-0549,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0551,1A,100143,1000,100,2023.01.05,2023.12.31,50,
280-0551,1A,100345,1000,0,2023.01.01,2023.12.31,50,
280-0552,1A,100143,1000,100,2023.01.05,2023.12.31,50,
280-0552,1A,100345,1000,0,2023.01.01,2023.12.31,50,
280-0553,1A,100143,1000,100,2023.01.05,2023.12.31,50,
280-0553,1A,100345,1000,0,2023.01.01,2023.12.31,50,
280-0554,1A,100143,1000,100,2023.01.05,2023.12.31,52,
280-0554,1A,100345,1000,0,2023.01.01,2023.12.31,52,
280-0555,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0555,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0556,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0556,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0557,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0557,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0558,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0558,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0574,1C,200048,1000,100,2023.01.01,2023.12.31,53,
280-0607,1A,200123,1000,100,2023.01.10,2023.12.31,95,
280-0650,1C,100073,1000,30,2023.01.01,2023.12.31,67,
280-0650,1C,100094,1000,70,2023.01.01,2023.12.31,67,
280-0695,1C,100073,1000,0,2023.01.03,2023.12.31,53,
280-0695,1C,100143,1000,60,2023.01.03,2023.12.31,53,
280-0695,1C,100345,1000,40,2023.01.03,2023.12.31,53,
280-0696,1B,200048,1000,0,2023.01.01,2023.12.31,55,
280-0696,1B,200092,1000,100,2023.01.01,2023.12.31,55,
280-0698,1A,100073,1000,40,2023.01.03,2023.12.31,53,
280-0698,1A,100143,1000,60,2023.01.05,2023.12.31,53,
280-0698,1A,100345,1000,0,2023.01.03,2023.12.31,53,
280-0701,1B,100018,1000,20,2023.01.01,2023.12.31,69,
280-0701,1B,100073,1000,10,2023.01.01,2023.12.31,69,
280-0701,1B,100143,1000,70,2023.05.18,2023.12.31,69,
280-0702,1B,100143,1000,60,2023.01.05,2023.12.31,67,
280-0702,1B,100345,1000,40,2023.01.03,2023.12.31,67,
280-0704,1B,100198,1000,100,2023.01.01,2023.12.31,53,
280-0705,1B,100143,1000,60,2023.01.03,2023.12.31,53,
280-0705,1B,100345,1000,40,2023.01.03,2023.12.31,53,
280-0789-10A,1A,100314,1000,100,2023.01.01,2023.12.31,54,
280-0789-10B,1A,100314,1000,100,2023.01.01,2023.12.31,54,
280-0789-10C,1A,100314,1000,100,2023.01.01,2023.12.31,54,
280-0791,1A,100073,1000,0,2023.01.03,2023.12.31,53,
280-0791,1A,100143,1000,60,2023.01.03,2023.12.31,53,
280-0791,1A,100345,1000,40,2023.01.03,2023.12.31,53,
280-0810,1C,100143,1000,70,2023.01.01,2023.12.31,53,
280-0810,1C,100304,1000,0,2023.01.01,2023.12.31,53,
280-0810,1C,200048,1000,0,2023.01.01,2023.12.31,53,
280-0810,1C,200092,1000,30,2023.01.01,2023.12.31,53,
280-0848,1A,100094,1000,80,2023.01.01,2023.12.31,67,
280-0848,1A,100228,1000,0,2023.01.01,2023.12.31,67,
280-0848,1A,200039,1000,20,2023.01.01,2023.12.31,67,
280-0861,1A,100143,1000,60,2023.01.05,2023.12.31,53,
280-0861,1A,100345,1000,40,2023.01.03,2023.12.31,53,
280-0862,1B,100143,1000,80,2023.01.03,2023.12.31,53,
280-0862,1B,100345,1000,20,2023.01.03,2023.12.31,53,
280-0865,1B,100143,1000,70,2023.01.01,2023.12.31,46,
280-0865,1B,100345,1000,30,2023.01.01,2023.12.31,46,
280-0866,1C,100143,1000,30,2023.01.01,2023.12.31,46,
280-0866,1C,100345,1000,70,2023.01.01,2023.12.31,46,
280-0867,1B,100143,1000,60,2023.01.05,2023.12.31,53,
280-0867,1B,100345,1000,40,2023.01.03,2023.12.31,53,
280-0897,1A,100143,1000,60,2023.01.05,2023.12.31,53,
280-0897,1A,100345,1000,40,2023.01.03,2023.12.31,53,
280-0898,1B,100073,1000,40,2023.01.03,2023.12.31,67,
280-0898,1B,100143,1000,60,2023.01.05,2023.12.31,67,
280-0898,1B,100345,1000,0,2023.01.03,2023.12.31,67,
280-0932,1C,100143,1000,30,2023.01.01,2023.12.31,41,
280-0932,1C,100197,1000,30,2023.01.01,2023.12.31,41,
280-0932,1C,100314,1000,40,2023.01.05,2023.12.31,41,
280-0933,1C,100143,1000,30,2023.01.01,2023.12.31,41,
280-0933,1C,100197,1000,30,2023.01.01,2023.12.31,41,
280-0933,1C,100314,1000,40,2023.01.05,2023.12.31,41,
280-0981-N0,1A,200080,1000,100,2022.10.10,2023.12.31,167,
280-0981-N1,1A,200080,1000,100,2022.10.10,2023.12.31,167,
280-0981-N2,1A,200080,1000,100,2022.10.10,2023.12.31,167,
280-0981-N3,1A,200080,1000,100,2022.10.10,2023.12.31,167,
280-0992,1B,100143,1000,80,2023.01.05,2023.12.31,53,
280-0992,1B,100345,1000,20,2023.01.03,2023.12.31,53,
280-0994,1A,100143,1000,100,2023.01.01,2023.12.31,53,
280-1002,1A,100143,1000,0,2023.01.03,2023.12.31,53,
280-1002,1A,100345,1000,100,2023.01.03,2023.12.31,53,
280-1011,1B,100073,1000,100,2023.01.01,2023.12.31,95,
281-0070,1A,100094,1000,100,2023.01.01,2023.12.31,68,
282-0040,1A,100073,1000,40,2023.01.03,2023.12.31,55,
282-0040,1A,100143,1000,60,2023.01.05,2023.12.31,55,
282-0040,1A,100345,1000,0,2023.01.03,2023.12.31,55,
282-0041,1A,100073,1000,80,2023.01.03,2023.12.31,55,
282-0041,1A,100143,1000,20,2023.01.05,2023.12.31,55,
282-0041,1A,100345,1000,0,2023.01.03,2023.12.31,55,
282-0333,1B,100143,1000,100,2023.01.01,2023.12.31,55,
282-0432,1A,100143,1000,100,2023.01.01,2023.12.31,55,
282-0433,1A,100143,1000,100,2023.01.01,2023.12.31,55,
282-0434,1A,100143,1000,100,2023.01.01,2023.12.31,55,
283-0046-27,1A,200077,1000,100,2022.10.10,2023.12.31,138,
283-0046-29,1A,200077,1000,100,2022.10.10,2023.12.31,138,
283-0046-31,1A,200077,1000,100,2022.10.10,2023.12.31,138,
283-0046-33,1A,200077,1000,100,2022.10.10,2023.12.31,138,
283-0098,1A,200122,1000,100,2023.08.21,2023.12.31,95,
283-0110-27,1A,200020,1000,100,2023.12.14,2024.12.31,139,
283-0110-29,1A,200020,1000,100,2023.12.14,2024.12.31,139,
283-0110-31,1A,200020,1000,100,2023.12.14,2024.12.31,139,
283-0110-33,1A,200020,1000,100,2023.12.14,2024.12.31,139,
283-0226,1A,200123,1000,100,2023.01.10,2023.12.31,95,
284-0118,1A,100314,1000,100,2023.01.01,2023.12.31,95,
285-0012,1B,100304,1000,80,2023.11.22,2023.12.31,69,
285-0012,1B,200048,1000,0,2023.11.22,2023.12.31,69,
285-0012,1B,200071,1000,0,2023.11.22,2023.12.31,69,
285-0012,1B,200092,1000,20,2023.11.22,2023.12.31,69,
285-0109,1A,200092,1000,100,2023.01.01,2023.12.31,67,
287-0003,1B,100018,1000,70,2023.01.01,2023.12.31,52,
287-0003,1B,100026,1000,30,2023.01.01,2023.12.31,52,
287-0003,1B,100217,1000,0,2023.01.01,2023.12.31,52,
288-0001,1B,100018,1000,60,2023.01.01,2023.12.31,68,
288-0001,1B,100073,1000,0,2023.01.01,2023.12.31,68,
288-0001,1B,100094,1000,10,2023.01.01,2023.12.31,68,
288-0001,1B,100143,1000,0,2023.01.01,2023.12.31,68,
288-0001,1B,100192,1000,30,2023.01.01,2023.12.31,68,
288-0005,1B,100018,1000,10,2023.01.01,2023.12.31,69,
288-0005,1B,100073,1000,0,2023.01.01,2023.12.31,69,
288-0005,1B,100094,1000,20,2023.01.01,2023.12.31,69,
288-0005,1B,100143,1000,0,2023.01.01,2023.12.31,69,
288-0005,1B,100192,1000,70,2023.01.01,2023.12.31,69,
288-0134,1B,100143,1000,100,2023.01.01,2023.12.31,68,
300-0150,1E,100102,1000,30,2023.01.01,2023.12.31,15,
300-0150,1E,100189,1000,70,2023.01.01,2023.12.31,15,
300-0151,1D,100102,1000,30,2023.01.01,2023.12.31,15,
300-0151,1D,100189,1000,70,2023.01.01,2023.12.31,15,
300-0152,1E,100102,1000,30,2023.01.01,2023.12.31,15,
300-0152,1E,100189,1000,70,2023.01.01,2023.12.31,15,
300-0168,1C,100102,1000,20,2023.01.01,2023.12.31,56,
300-0168,1C,100189,1000,80,2023.01.01,2023.12.31,56,
300-0169,1B,100102,1000,20,2023.01.01,2023.12.31,56,
300-0169,1B,100189,1000,80,2023.01.01,2023.12.31,56,
