PN,Plant,Vendor
350-0230,2000,0000100187
300-0213,2000,0000100102
300-0214,2000,0000100102
352-0001,2000,0000100003
352-0002,2000,0000100003
350-0227,2000,0000100187
310-0577,2000,0000100102
280-0558,2000,0000100096
280-0558,2000,0000100132
110-0249,2000,0000100067
310-0574,2000,0000100102
287-0003,2000,0000100094
287-0003,2000,0000100217
287-0003,2000,0000100026
280-0793,2000,0000100258
311-0005,2000,0000100078
300-0211,2000,0000100102
300-0212,2000,0000100102
310-0571,2000,0000100102
320-0614,2000,0000100170
280-0798,2000,0000100136
320-0611,2000,0000100096
320-0611,2000,0000100170
300-0213,2000,0000100189
300-0214,2000,0000100189
282-0040,2000,0000100143
282-0041,2000,0000100143
282-0040,2000,0000100096
282-0041,2000,0000100096
280-0837,2000,0000200092
280-0609,2000,0000100143
282-0040,2000,0000100132
282-0041,2000,0000100132
283-0015,2000,0000200121
320-0611,2000,0000100193
280-1188,2000,0000100073
280-1011,2000,0000100207
280-0898,2000,0000100096
283-0019,2000,0000200121
280-0845-100,2000,0000100136
280-0793-02,2000,0000100094
310-0585,2000,0000100102
120-0157,2000,0000100148
100-0119,2000,0000100148
280-0418,2000,0000100217
312-0002,2000,0000100206
280-0418,2000,0000100026
310-0591,2000,0000100102
320-0611,2000,0000100144
320-0577,2000,0000100144
120-0202,2000,0000100148
110-0460,2000,0000100067
220-0129,2000,0000100136
160-1218,2000,0000100136
285-0015,2000,0000100146
280-0609,2000,0000100197
310-0308,2000,0000100102
310-0357,2000,0000100102
352-0003,2000,0000100003
140-0628,2000,0000200009
220-0133,2000,0000100094
288-0001,2000,0000100192
220-0134-005,2000,0000100136
220-0134-010,2000,0000100136
280-0845-040,2000,0000100136
285-0012,2000,0000200092
302-0007,2000,0000100170
302-0004,2000,0000100170
220-0134-007,2000,0000100136
283-0029,2000,0000200124
302-0006,2000,0000100170
302-0008,2000,0000100170
220-0134-003,2000,0000100136
280-0848,2000,0000100094
220-0072,2000,0000100094
220-0133,2000,0000100136
160-1237,2000,0000100019
288-0005,2000,0000100192
288-0001,2000,0000100073
288-0005,2000,0000100073
320-0412,2000,0000100170
320-0443,2000,0000100170
320-0493,2000,0000100170
285-0012,2000,0000200071
312-0008,2000,0000100206
320-0550,2000,0000100144
281-0009,2000,0000100094
330-0285,2000,0000100063
288-0001,2000,0000100143
288-0005,2000,0000100143
130-0077,2000,0000100289
283-0046-27,2000,0000200077
283-0046-29,2000,0000200077
283-0046-31,2000,0000200077
283-0046-33,2000,0000200077
100-0224,2000,0000100148
100-0227,2000,0000100100
100-0228,2000,0000100100
100-0214,2000,0000100148
320-0468,2000,0000100144
320-0518,2000,0000100144
320-0474,2000,0000100144
320-0486,2000,0000100144
320-0468,2000,0000100170
320-0518,2000,0000100170
320-0486,2000,0000100170
100-0225,2000,0000100148
330-0307,2000,0000100009
313-0001,2000,0000200085
320-0474,2000,0000100170
280-0861,2000,0000100132
320-0128,2000,0000100189
310-0228,2000,0000100189
310-0229,2000,0000100189
283-0055,2000,0000200124
300-0168,2000,0000100189
300-0169,2000,0000100189
300-0180,2000,0000100189
330-0314,2000,0000100063
350-0274,2000,0000100187
350-0275,2000,0000100187
313-0010,2000,0000100033
288-0001,2000,0000100018
288-0005,2000,0000100018
287-0003,2000,0000100018
280-0848,2000,0000100258
285-0012,2000,0000200048
310-0577,2000,0000100189
120-0215,2000,0000100294
140-0477,2000,0000200140
351-0001,2000,0000100003
910-0499,2000,0000100003
320-0577,2000,0000100299
320-0611,2000,0000100299
220-0134-002,2000,0000100136
284-0014,2000,0000100292
320-0611,2000,S1000
320-0412,2000,S1000
320-0443,2000,S1000
320-0493,2000,S1000
280-0848,2000,S1000
320-0438,2000,S1000
282-0041,2000,S1000
280-0698,2000,S1000
282-0040,2000,S1000
280-0650,2000,S1000
280-0431,2000,S1000
287-0003,2000,S1000
280-0898,2000,S1000
280-0897,2000,S1000
288-0001,2000,S1000
288-0005,2000,S1000
280-0700,2000,S1000
280-1188,2000,S1000
311-0102,2000,0000100078
284-0014,2000,0000200110
320-0577,2000,S1000
320-0550,2000,S1000
310-0178,2000,S1000
310-0464,2000,S1000
310-0490,2000,S1000
310-0295,2000,S1000
280-0607,2000,S1000
280-0981-N0,2000,S1000
280-0981-N1,2000,S1000
280-0981-N2,2000,S1000
280-0981-N3,2000,S1000
140-0547,2000,S1000
100-0084,2000,S1000
280-0213,2000,S1000
280-0765,2000,S1000
280-0425,2000,S1000
285-0012,2000,S1000
284-0014,2000,S1000
280-0933,2000,S1000
280-0932,2000,S1000
280-0696,2000,S1000
280-1011,2000,S1000
280-0992,2000,S1000
280-0810,2000,S1000
280-0695,2000,S1000
280-0791,2000,S1000
300-0150,2000,S1000
300-0151,2000,S1000
300-0152,2000,S1000
302-0007,2000,S1000
302-0004,2000,S1000
310-0401,2000,S1000
320-0284,2000,S1000
310-0407,2000,S1000
330-0164,2000,0000100009
120-0248,2000,0000100148
120-0249,2000,0000100148
100-0227,2000,0000100148
284-0051-35,2000,S1000
280-0489,2000,S1000
280-0654,2000,S1000
350-0227,2000,S1000
350-0088,2000,S1000
350-0089,2000,S1000
350-0090,2000,S1000
350-0026,2000,S1000
330-0162,2000,S1000
330-0006,2000,S1000
330-0133,2000,S1000
330-0135,2000,S1000
330-0307,2000,S1000
330-0194,2000,S1000
330-0005,2000,S1000
350-0154,2000,S1000
310-0369,2000,S1000
310-0370,2000,S1000
310-0376,2000,S1000
330-0234,2000,S1000
283-0029,2000,S1000
310-0284,2000,S1000
310-0395,2000,S1000
310-0063,2000,S1000
300-0140,2000,S1000
300-0141,2000,S1000
310-0357,2000,S1000
310-0323,2000,S1000
310-0440,2000,S1000
320-0109,2000,S1000
140-0340,2000,S1000
140-0345,2000,S1000
280-0655,2000,S1000
220-0072,2000,S1000
320-0328,2000,S1000
284-0001-35,2000,S1000
280-0793,2000,S1000
280-0793-02,2000,S1000
310-0312,2000,S1000
300-0121,2000,S1000
300-0122,2000,S1000
310-0308,2000,S1000
310-0310,2000,S1000
310-0311,2000,S1000
310-0405,2000,S1000
220-0133,2000,S1000
140-0546,2000,S1000
330-0255,2000,S1000
350-0027,2000,S1000
330-0081,2000,S1000
140-0472,2000,S1000
283-0015,2000,S1000
280-0587,2000,S1000
310-0228,2000,S1000
300-0214,2000,S1000
300-0213,2000,S1000
350-0015,2000,S1000
350-0016,2000,S1000
350-0017,2000,S1000
280-0425,2000,0000100136
310-0474,2000,S1000
311-0005,2000,S1000
310-0300,2000,S1000
330-0285,2000,S1000
320-0248,2000,S1000
284-0054,2000,S1000
284-0051-40,2000,0000100228
350-0230,2000,S1000
330-0314,2000,S1000
330-0327,2000,0000100009
330-0328,2000,0000100009
320-0128,2000,S1000
310-0241,2000,S1000
310-0229,2000,S1000
302-0008,2000,S1000
140-0599,2000,0000200140
140-0848,2000,0000200146
140-0849,2000,0000200146
311-0102,2000,S1000
330-0101,2000,S1000
350-0029,2000,S1000
350-0290,2000,0000100187
352-0009,2000,0000100003
352-0010,2000,0000100003
352-0011,2000,0000100003
351-0003,2000,0000100003
351-0001,2000,S1000
350-0275,2000,S1000
350-0291,2000,0000100187
910-0499,2000,S1000
311-0207,2000,0000100078
300-0316,2000,0000100189
300-0317,2000,0000100189
350-0229,2000,S1000
350-0025,2000,S1000
330-0088,2000,S1000
300-0168,2000,S1000
300-0169,2000,S1000
300-0180,2000,S1000
280-0789-10A,2000,0000100143
280-0789-10B,2000,0000100143
280-0789-10C,2000,0000100143
283-0046-27,2000,S1000
283-0046-29,2000,S1000
283-0046-31,2000,S1000
283-0046-33,2000,S1000
280-0293-27,2000,S1000
280-0293-29,2000,S1000
280-0293-31,2000,S1000
280-0293-33,2000,S1000
120-0248,2000,0000100100
140-0851,2000,0000200146
310-0577,2000,S1000
310-0504,2000,S1000
330-0228,2000,S1000
330-0233,2000,S1000
330-0025,2000,S1000
341-0027,2000,0000100189
140-0547,2000,0000200146
283-0110-27,2000,0000200020
283-0110-29,2000,0000200020
283-0110-31,2000,0000200020
283-0110-33,2000,0000200020
140-0472,2000,0000200146
300-0311,2000,0000100102
300-0312,2000,0000100102
300-0313,2000,0000100102
340-0056,2000,0000100102
330-0255,2000,0000100009
280-1018,2000,0000200123
311-0183,2000,0000100078
283-0098,2000,0000200122
285-0109,2000,0000200092
100-0222,2000,0000100148
120-0232,2000,0000100148
140-0645,2000,0000100289
313-0039,2000,0000400137
310-0104,2000,S1000
310-0485,2000,S1000
280-1019,2000,S1000
311-0244,2000,0000100078
310-0414-01,2000,S1000
310-0368,2000,S1000
313-0001,2000,S1000
310-0147,2000,S1000
310-0109,2000,S1000
280-0836-27,2000,S1000
280-0836-29,2000,S1000
280-0836-31,2000,S1000
280-0836-33,2000,S1000
120-0224,2000,0000100148
330-0087,2000,S1000
330-0284,2000,S1000
330-0214,2000,S1000
311-0252,2000,0000100078
350-0038,2000,0000100059
310-0505,2000,S1000
280-0932,2000,0000100314
280-0933,2000,0000100314
280-1011,2000,0000100314
280-0789-10B,2000,0000100314
