版次,MES质检库存,PN,Description,Plant,Storage,StorageDescription,SN,UnconstrainedQuantity
,,280-1067,,2000,2016,,,6020.000
,,280-1133,,2000,1016,,,1336.000
,,280-1159,,2000,1016,,,353.000
,,280-1312-27-R,,2000,3028,,,704.000
,,280-1312-29-R,,2000,3028,,,704.000
,,280-1312-31-R,,2000,3028,,,704.000
,,280-1312-33-R,,2000,3028,,,704.000
,,280-1391,,2000,2016,,,6216.000
,,280-1480-27,,2000,1016,,,237.000
,,280-1480-29,,2000,1016,,,1028.000
,,280-1480-31,,2000,1016,,,332.000
,,280-1480-33,,2000,1016,,,301.000
,,280-1594,,2000,1016,,,200.000
,,280-1595,,2000,1016,,,11018.000
,,280-1638,,2000,2016,,,628.000
,,280-1663,,2000,2016,,,854.000
,,280-1752-27-CD,,2000,3011,,,1835.000
,,280-1752-29-CD,,2000,3011,,,1698.000
,,280-1752-31-CD,,2000,3011,,,1776.000
,,280-1752-33-CD,,2000,3011,,,1723.000
,,280-1786,,2000,2016,,,19.000
,,280-1787,,2000,1016,,,4455.000
,,280-1806,,2000,2016,,,1463.000
,,280-1828-CD,,2000,1016,,,205.000
,,280-1962-CD,,2000,2016,,,154.000
,,280-2019-CD,,2000,2016,,,7569.000
,,281-0009,,2000,2016,,,3707.000
,,281-0070,,2000,3016,,,1378.000
,,282-0040,,2000,3016,,,500.000
,,282-0041,,2000,3016,,,4208.000
,,282-0330,,2000,3016,,,5976.000
,,282-0333,,2000,3016,,,6101.000
,,282-0432,,2000,3016,,,2952.000
,,282-0433,,2000,1016,,,880.000
,,282-0434,,2000,2016,,,879.000
,,282-0601,,2000,3016,,,18.000
,,283-0015,,2000,3016,,,9844.000
,,283-0015,,2000,6010,,,1369.000
,,283-0019,,2000,3016,,,51.000
,,283-0029,,2000,3016,,,13913.000
,,283-0046-27,,2000,1016,,,872.000
,,283-0046-27,,2000,6010,,,62340.000
,,283-0046-29,,2000,1016,,,734.000
,,283-0046-29,,2000,6010,,,74802.000
,,283-0046-31,,1000,7010,,,13409.000
,,283-0046-31,,2000,1016,,,1866.000
,,283-0046-33,,2000,1016,,,129.000
,,283-0046-33,,2000,6010,,,57432.000
,,283-0055,,1000,6010,,,22793.000
,,283-0055,,1000,7010,,,60873.000
,,283-0055,,2000,3016,,,9663.000
,,283-0098,,1000,1016,,,53.000
,,283-0098,,1000,6010,,,1345.000
,,283-0098,,2000,1016,,,1018.000
,,283-0098,,2000,6010,,,11351.000
,,283-0110-27,,1000,7010,,,13417.000
,,283-0110-27,,2000,1016,,,4426.000
,,283-0110-27,,2000,3020,,,12127.000
,,283-0110-27,,2000,6010,,,11324.000
,,283-0110-29,,1000,7010,,,10373.000
,,283-0110-29,,2000,1016,,,2395.000
,,283-0110-29,,2000,3020,,,24937.000
,,283-0110-29,,2000,6010,,,3968.000
,,283-0110-31,,1000,7010,,,8772.000
,,283-0110-31,,2000,1016,,,2062.000
,,283-0110-31,,2000,3020,,,18105.000
,,283-0110-31,,2000,6010,,,13123.000
,,283-0110-33,,1000,7010,,,11744.000
,,283-0110-33,,2000,1016,,,2107.000
,,283-0110-33,,2000,3020,,,20081.000
,,283-0110-33,,2000,6010,,,5626.000
,,283-0111,,2000,6010,,,1079.000
,,283-0212-27-CD,,2000,9023,,,9949.000
,,283-0212-29-CD,,2000,9023,,,7759.000
,,283-0212-31-CD,,2000,9023,,,8485.000
,,283-0212-33-CD,,2000,9023,,,9262.000
,,283-0226,,2000,1016,,,11250.000
,,284-0001-20,,2000,6010,,,79.000
,,284-0001-40,,1000,6010,,,9490.000
,,284-0001-40,,2000,3016,,,499.000
,,284-0001-40,,2000,7010,,,3000.000
,,284-0014,,1000,6010,,,10000.000
,,284-0014,,1000,7010,,,60200.000
,,284-0014,,2000,1016,,,200.000
,,284-0014,,2000,6010,,,40149.000
,,284-0084-20,,2000,3016,,,3127.000
,,284-0084-20,,2000,VM01,,,4549.000
,,284-0089-20,,2000,3016,,,4346.000
,,284-0089-20,,2000,6010,,,5100.000
,,284-0089-50,,1000,7010,,,510.000
,,284-0089-50,,2000,6010,,,819.000
,,284-0118,,2000,1016,,,573.000
,,285-0012,,2000,1016,,,21553.000
,,285-0012,,2000,6010,,,203263.000
,,285-0109,,2000,1016,,,268.000
,,285-0109,,2000,6010,,,37611.000
,,287-0003,,1000,2016,,,51.000
,,287-0003,,1000,6010,,,6200.000
,,287-0003,,2000,2016,,,1617.000
,,288-0001,,2000,3016,,,3768.000
,,288-0005,,2000,3016,,,4564.000
,,288-0134,,2000,3016,,,1015.000
,,300-0140,,2000,6010,,,3649.000
,,300-0145,,1000,6010,,,23588.000
,,300-0150,,2000,6010,,,18550.000
,,300-0150,,5000,6010,,,636.000
,,300-0151,,2000,6010,,,9365.000
,,300-0151,,5000,6010,,,221.000
,,300-0152,,2000,6010,,,12193.000
,,300-0152,,5000,6010,,,691.000
,,300-0168,,2000,5016,,,600.000
,,300-0168,,2000,6010,,,10.000
,,300-0168,,5000,6010,,,2052.000
,,300-0169,,2000,5016,,,600.000
,,300-0169,,2000,6010,,,10.000
,,300-0169,,5000,6010,,,2011.000
,,300-0180,,2000,5016,,,600.000
,,300-0180,,2000,6010,,,10.000
,,300-0180,,5000,6010,,,2034.000
,,300-0195,,1000,9023,,,8660.000
,,300-0195,,2000,9023,,,8923.000
,,300-0213,,1000,5016,,,380.000
,,300-0213,,1000,6010,,,1705.000
,,300-0214,,1000,3028,,,516.000
,,300-0214,,1000,5016,,,380.000
,,300-0214,,1000,6010,,,3026.000
,,300-0312,,2000,6010,,,10.000
,,300-0313,,2000,6010,,,10.000
,,300-0316,,2000,6010,,,15.000
,,300-0317,,2000,6010,,,1940.000
,,300-0355,,1000,5016,,,62.000
,,300-0504-CD,,2000,6010,,,380.000
,,301-0016,,2000,3016,,,785.000
,,301-0046-CD,,2000,3016,,,8351.000
,,301-0046-CD,,2000,6010,,,10840.000
,,302-0004,,1000,5016,,,15399.000
,,302-0004,,1000,6010,,,6236.000
,,302-0004,,2000,5016,,,59600.000
,,302-0004,,5000,5016,,,11636.000
,,302-0006,,1000,5016,,,2043.000
,,302-0007,,1000,5016,,,6522.000
,,302-0007,,2000,5016,,,126502.000
,,302-0007,,2000,9023,,,588.000
,,302-0007,,5000,5016,,,16630.000
,,302-0007,,5000,6010,,,105000.000
,,302-0008,,1000,5016,,,427.000
,,302-0008,,1000,6010,,,36000.000
,,310-0014,,2000,7016,,,2000.000
,,310-0063,,1000,7016,,,8979.490
,,310-0063,,2000,7016,,,2416.906
,,310-0104,,1000,7016,,,84408.574
,,310-0104,,2000,7016,,,41469.161
,,310-0104,,5000,7016,,,21867.231
,,310-0109,,2000,7016,,,889.693
,,310-0109,,5000,7016,,,252.767
