resource_id,ResPrevPrgrm
resource_id,ResTransferTime
resource_type,Resource
revenue,Demand
revenue,Inventory
revenue_loss,Demand
revenue_loss,Inventory
rounding_threshold,Cal
route_id,Method
route_id,RouteRouteSegm
route_ix,RouteRouteSegm
route_segm_id,BoMElem
route_segm_id,RouteRouteSegm
route_segm_id,RouteSegStepSeq
rr_flag,BoMElem
rr_offset,BoMElem
rr_value,BoMElem
rtsegm_ix,ActLots
rule_action,FilterRule
rule_demand_property,Inventory
rule_demand_sort,Inventory
rule_lot_size,Inventory
rule_method_choice,Inventory
rule_peg,Inventory
rule_pre_res_choice_id,ResAlt
rule_push,Inventory
rule_res_choice_id,ResAlt
rule_storage,StorageAlt
rule_supply_sort,Inventory
rule_type,BusinessRule
rule_unused_supply,Inventory
s_endtime,Connections
s_grade,Connections
s_index,Connections
s_ref_id,Connections
s_stime,Connections
s_time,Connections
s_time,Supply
s_type,Connections
safety_level,SafetyStock
sales_order_id,WorkOrders
sch_bor_ix,ActLots
sch_seq_id,ActLots
sch_seq_ix,ActLots
scheduled,WorkOrders
scheduling_mode,Cal
scope,FilterRuleCriteria
sec_res_id,SFSResAct
segment_ix,BoCElem
segment_ix,TimeOverrideLots
segment_ix,WipStepLots
selection,EMSCriterion
self_setup_time,Op
self_setup_time,OpOverridesCom
self_setup_time,OpOverridesRes
self_setup_time,OpOverridesString
self_setup_time,OpOverridesTime
seq_choice_rule,RouteSegment
seq_id,TimeOverrideLots
seq_threshold,ResCapInter
seq_threshold,StorageCapInter
sequence_id,WipStepLots
sequential_order,Constraint
setup_id,PrevMain
setup_id,SetupBoRs
setup_id,SetupMatRelation
setup_id,SFSResSched
setup_matrix_id,Resource
setup_matrix_id,SetupMatRelation
setup_matrix_id,SetupMatrixGrpModif
setup_matrix_id,SetupMatrixModif
setup_time,SFSLotAct
setup_time,SFSResAct
setup_type,Op
setup_type,OpOverridesCom
setup_type,OpOverridesRes
setup_type,OpOverridesString
setup_type,OpOverridesTime
setup_type,PrevMain
setup_type,Setup
share_,BoMElem
sharing,Inventory
sm_mode,SetupMatrixModif
sort_rule_id,BoMElemProperty
sort_rule_id,SortRuleCriteria
source_loc_id,Method
source_location,BoMElem
speed_factor,Resource
split_increment,Resource
split_minimum,Resource
split_rule_id,BoMElemProperty
start_date,HolidayElem
start_date,OpOverridesRes
start_date,OpOverridesString
start_date,OpOverridesTime
start_date,WorkOrders
start_date_flag,Inventory
start_time,ActLots
start_time,ResCapExc
start_time,ResCapInter
start_time,ResPrevPrgrm
start_time,SFSActPortion
start_time,SFSResPortion
start_time,SFSSchedule
start_time,StorageCapExc
start_time,StorageCapInter
starting_inv,StartingInv
status,Demand
status,SFSSchedule
status,Supply
status,WorkOrders
std_lot_size,Inventory
std_lot_size,Method
step_id,ActLots
step_id,BoCElem
step_id,BoMElem
step_id,TimeOverrideLots
step_id,WipStepLots
step_ix,SFSConnections
step_seq_id,BoMElem
step_seq_id,RouteSegStepSeq
stepseq_id,Step
stoalt_id,StorageAltElem
storage_alt_id,Inventory
storage_id,StorageAltElem
storage_id,StorageCapExc
storage_id,StorageCapInter
subst_flag,SafetyStock
substitute_flag,BoMElem
substitute_flag,DemandElem
substitution,BoMElem
supply_filter_rule,DemandElem
supply_filter_rule,DemandProperty
supply_id,SFSConnections
supply_ix,SFSConnections
supply_qty,SFSConnections
supply_time,SFSConnections
supply_time_flag,Method
supply_type,SFSConnections
t_end,SafetyStock
t_start,SafetyStock
target,PrevMain
target_string,ConstraintTargetElem
target_type,FilterRule
target_type,SortRule
time_fence,Inventory
time_scope,WipBuffer
timezone,Cal
timezone_name,Location
tm_stamp,ActLots
tm_stamp,BatchId
tm_stamp,BoC
tm_stamp,BoG
tm_stamp,BoGElem
tm_stamp,BoM
tm_stamp,BoMElem
tm_stamp,BoR
tm_stamp,BoRAlt
tm_stamp,BoRAltElem
tm_stamp,BoRElem
tm_stamp,BusinessRule
tm_stamp,CapPattern
tm_stamp,CapPatternElem
tm_stamp,CfiCycle
tm_stamp,CfiFactor
tm_stamp,CfiOverride
tm_stamp,CfiWait
tm_stamp,ComGrp
tm_stamp,ComGrpElem
tm_stamp,Commodity
tm_stamp,CommodityGrades
tm_stamp,Connections
tm_stamp,Constraint
tm_stamp,ConstraintTarget
tm_stamp,CustGrp
tm_stamp,CustGrpElem
tm_stamp,Customer
tm_stamp,Demand
tm_stamp,DemandElem
tm_stamp,DemandMaster
tm_stamp,DemandMasterElem
tm_stamp,DemandProperty
tm_stamp,EMSCriterion
tm_stamp,EMSThresCriterRankElem
tm_stamp,EMSThresholds
tm_stamp,FilterRule
tm_stamp,FutureHoldLots
tm_stamp,Holiday
tm_stamp,Inventory
tm_stamp,KeepBatch
tm_stamp,Location
tm_stamp,Method
tm_stamp,MethodAlt
tm_stamp,MethodAltElem
tm_stamp,ObjectCharacteristic
tm_stamp,Op
tm_stamp,OpOverridesCom
tm_stamp,OpOverridesRes
tm_stamp,OpOverridesString
tm_stamp,OpOverridesTime
tm_stamp,Penalty
tm_stamp,PenaltyFunction
tm_stamp,PeriodMgr
tm_stamp,PrevMain
tm_stamp,PriorityMatrix
tm_stamp,ResAlt
tm_stamp,ResAltElem
tm_stamp,ResCapExc
tm_stamp,ResCapInter
tm_stamp,Resource
tm_stamp,ResPrevPrgrm
tm_stamp,Route
tm_stamp,RouteRouteSegm
tm_stamp,RouteSegment
tm_stamp,RouteSegStepSeq
tm_stamp,SafetyStock
tm_stamp,Setup
tm_stamp,SetupMatRelation
tm_stamp,SetupMatrix
tm_stamp,SetupMatrixGrpModif
tm_stamp,SetupMatrixModif
tm_stamp,SortRule
tm_stamp,StartingInv
tm_stamp,Step
tm_stamp,StepSeq
tm_stamp,Storage
tm_stamp,StorageAlt
tm_stamp,StorageCapExc
tm_stamp,StorageCapInter
tm_stamp,Supply
tm_stamp,TimeOverrideLots
tm_stamp,VAttrValueBag
tm_stamp,VAttrValueDouble
tm_stamp,VAttrValueInt
tm_stamp,VAttrValueString
tm_stamp,VAttrValueTime
tm_stamp,Vendor
tm_stamp,WipBuffer
tm_stamp,WorkOrders
to_pattern,SetupMatRelation
to_pattern,SetupMatrixGrpModif
to_pattern,SetupMatrixModif
to_step,KeepBatchElem
tolerance,PrevMain
tolerated,CfiCycle
tolerated,CfiFactor
tolerated,CfiWait
track_commodity,BoCElem
track_commodity,WorkOrders
transfer_lot_size,Inventory
transfer_lot_size,Method
transfer_lot_size,Op
transfer_lot_size,OpOverridesCom
transfer_lot_size,OpOverridesRes
transfer_lot_size,OpOverridesString
transfer_lot_size,OpOverridesTime
transport_time,Resource
type,Commodity
type,Penalty
type,SFSResSched
uda_id,ObjectCharacteristic
uda_name,ConstraintTargetElem
uda_name,EMSCriterion
uda_value,ConstraintTargetElem
underutilization_cost,Resource
unit_type,PenaltyFunctionElem
unit_volume,Inventory
unit_volume_factor,Inventory
unit_weight_factor,Inventory
uom,PrevMain
upstream_sort_rule_id,BoMElemProperty
usage_rate,SFSActPortion
usage_rate,SFSResPortion
va_name,VAttrValueBag
va_name,VAttrValueDouble
va_name,VAttrValueInt
va_name,VAttrValueString
va_name,VAttrValueTime
val_max,VAttr
val_min,VAttr
val_type,VAttr
value,FilterRuleCriteria
value,SetupMatrixGrpModif
value,VAttrValueBag
value,VAttrValueDouble
value,VAttrValueInt
value,VAttrValueString
value,VAttrValueTime
vendor_id,Method
weight,PenaltyFunctionElem
weight_factor,ConstraintOverrideEl
wip_buffer_id,Resource
wip_cycle_mode,Cal
wip_future_hold_cycle_flag,FutureHoldLots
wip_future_hold_duration,FutureHoldLots
wip_future_hold_release,FutureHoldLots
wip_future_hold_segment_ix,FutureHoldLots
wip_future_hold_seq_id,FutureHoldLots
wip_future_hold_step_id,FutureHoldLots
wip_qty,WorkOrders
wip_repair_bor_id,WorkOrders
wip_repair_remaining_qty,WorkOrders
wip_repair_remaining_time,WorkOrders
wip_repair_sequence_id,WorkOrders
wip_repair_step_id,WorkOrders
wip_respectWaitB4Res,WorkOrders
wip_restart_from_hold,WorkOrders
wip_scheduleAsPlannedLot,WorkOrders
wip_waited_time,WorkOrders
x_coordinate,PenaltyElem
y_coordinate,PenaltyElem
yield_factor,Op
yield_factor,OpOverridesCom
yield_factor,OpOverridesRes
yield_factor,OpOverridesString
yield_factor,OpOverridesTime
yield_lost_qty,Op
yield_lost_qty,OpOverridesCom
yield_lost_qty,OpOverridesRes
yield_lost_qty,OpOverridesString
yield_lost_qty,OpOverridesTime
yield_rounding,Cal
