MODEL_ID,ERROR_ID,SOURCE_TABLE_NAME,SOURCE_COLUMN_NAME,LOOKUP_TABLE_NAME,ERROR_VALUE,ERROR_TIMESTAMP,RELATED_IDENTIFIER
DSM,22012,NULL,NULL,NULL,003725-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003725-02@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003726-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003763-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003928-09@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003992-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,004074-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,004089-01@7040,2024-05-03 06:10:25.867,NULL
DSM,1,NULL,NULL,NULL,006987-04@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-13@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-14@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-15@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-19@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-20@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-21@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-26@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-27@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-28@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,50002-29@7040,2024-05-03 06:10:06.140,NULL
DSM,1,NULL,NULL,NULL,61045-01@7040,2024-05-03 06:10:06.140,NULL
DSM,2,NULL,NULL,NULL,006987-04@7040,2024-05-03 06:10:06.140,NULL
DSM,2,NULL,NULL,NULL,RM0052-01@7040,2024-05-03 06:10:06.140,NULL
DSM,22012,NULL,NULL,NULL,006753-02@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006776-04@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006781-03@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006782-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006783-09@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006784-02@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006797-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006797-02@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006799-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006799-02@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006799-03@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006799-04@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006799-05@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006799-06@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006800-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006824-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,006824-02@7040,2024-05-03 06:10:25.867,NULL
